date,confirm,heal
7.1,12393271.0,7188917.0
7.11,12622104.0,7332065.0
7.12,12841252.0,7446982.0
7.13,13032198.0,7553133.0
7.14,13225018.0,7685787.0
7.15,13458034.0,7829703.0
7.16,13710685.0,8111105.0
7.17,13962555.0,8251319.0
7.18,14179197.0,8438416.0
7.19,14426219.0,8579439.0
7.2,14604794.0,8689625.0
7.21,14841074.0,8876415.0
7.22,15093995.0,9092135.0
7.23,15371310.0,9325678.0
7.24,15686824.0,9524560.0
7.25,15969192.0,9735004.0
7.26,16206080.0,9880124.0
7.27,16407421.0,10010195.0
7.28,16648485.0,10213245.0
7.29,16912391.0,10445327.0
7.3,17153278.0,10695496.0
7.31,17505728.0,10927275.0
8.1,17789780.0,11164033.0
8.2,18010657.0,11291950.0
8.3,18213798.0,11400147.0
